"LotArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","SalePrice"
16285,0,0,1413,1413,1430,0,1430,0,0,2,0,3,1,6,0,2,605,0,33,187100
3675,459,0,88,547,1072,0,1072,1,0,1,0,2,1,5,0,2,525,0,28,148000
8963,575,80,487,1142,1175,1540,2715,0,1,3,1,4,1,11,2,2,831,0,204,299800
4712,384,0,363,747,774,456,1230,1,0,1,1,3,1,5,0,1,305,0,57,121600
5400,415,0,418,833,833,0,833,0,0,1,0,2,1,4,0,1,326,0,0,117000
9245,0,0,939,939,939,858,1797,0,0,2,1,3,1,8,0,2,639,144,53,213500
7540,773,0,115,888,912,0,912,1,0,1,0,2,1,5,1,2,470,0,0,156000
7892,0,0,918,918,918,0,918,0,0,2,0,2,1,5,1,1,264,28,0,99500
8814,1334,0,270,1604,1604,0,1604,1,0,2,1,3,1,8,1,2,660,123,110,220000
14541,1012,0,326,1338,1352,1168,2520,1,0,2,1,5,1,10,1,3,796,209,55,310000
10800,0,0,656,656,968,0,968,0,0,2,0,4,1,5,0,1,216,0,0,64500
8640,24,0,732,756,764,783,1547,0,0,2,1,3,1,7,0,2,614,169,45,215200
9400,0,0,912,912,912,912,1824,0,0,2,2,4,2,8,0,0,0,128,0,139000
8172,0,0,941,941,997,473,1470,0,0,2,0,4,1,7,0,1,548,0,0,135000
6600,641,0,175,816,816,0,816,0,1,1,0,3,1,5,1,1,264,0,0,130500
9120,662,0,599,1261,1261,0,1261,1,0,1,0,3,1,6,1,2,433,0,0,163000
10084,1369,0,317,1686,1694,0,1694,1,0,2,0,3,1,7,1,2,636,255,57,307000
6120,0,0,927,927,1067,472,1539,0,0,1,1,3,1,5,0,2,576,112,0,141500
14331,1274,0,526,1800,1800,0,1800,1,0,2,0,3,1,7,1,3,765,270,78,312500
12704,0,0,2042,2042,2042,0,2042,0,0,2,1,3,1,8,1,3,1390,0,90,253293
9590,786,0,82,868,1146,0,1146,1,0,2,0,3,1,6,1,2,438,160,22,187500
12900,1198,0,0,1198,1258,0,1258,2,0,0,2,0,2,6,0,2,400,120,0,108959
5001,904,0,410,1314,1314,0,1314,1,0,2,0,2,1,6,1,2,626,172,62,230000
10300,0,0,576,576,902,808,1710,0,0,2,0,3,1,9,0,2,480,12,11,140000
10141,0,0,832,832,885,833,1718,0,0,2,1,3,1,7,1,2,427,0,94,185000
2117,378,0,378,756,769,804,1573,0,0,2,1,3,1,5,0,2,440,0,32,177500
13700,454,0,410,864,902,918,1820,0,0,1,2,4,1,8,2,2,492,60,84,201800
12160,1024,0,481,1505,1505,0,1505,1,0,1,0,2,1,6,1,2,505,0,0,149500
6130,784,0,0,784,784,0,784,1,0,1,0,2,1,5,0,0,0,0,0,109500
8400,378,0,342,720,1052,720,2192,0,0,2,1,4,1,8,1,1,240,262,24,179500
8967,0,0,961,961,1077,0,1077,0,0,1,0,2,1,6,0,1,338,0,0,67000
10574,0,0,1082,1082,1082,871,1953,0,0,2,1,3,1,9,1,3,1043,160,50,252000
4017,0,0,625,625,625,625,1250,0,0,2,1,2,1,5,0,2,625,0,54,171900
22950,0,0,1107,1107,1518,1518,3608,0,0,2,1,4,1,12,2,3,840,0,260,475000
11526,0,0,588,588,1423,748,2555,0,0,2,0,3,1,11,1,2,672,431,0,191000
17755,176,0,1290,1466,1466,0,1466,0,0,1,1,3,1,6,2,2,528,0,140,149900
8314,546,0,270,816,816,0,816,0,0,1,0,2,1,5,0,1,264,168,0,124500
11670,0,0,1905,1905,1905,0,1905,0,0,2,0,3,1,8,1,3,788,0,191,320000
9920,354,290,412,1056,1063,0,1063,1,0,1,0,3,1,6,0,1,280,0,0,128000
10921,520,0,440,960,960,0,960,1,0,1,0,3,1,6,0,1,432,120,0,94750
9672,338,0,702,1040,1097,0,1097,0,0,2,0,3,1,6,0,2,480,0,0,152000
10625,0,0,1026,1026,1026,932,1958,0,0,2,1,3,1,9,1,3,936,154,210,250000
5105,239,0,312,551,551,551,1102,0,0,2,1,2,1,4,0,2,480,0,60,148800
9135,810,0,726,1536,1536,0,1536,1,0,2,0,3,1,7,0,2,532,192,74,214000
9588,0,0,1482,1482,1482,1092,2574,0,0,2,1,3,1,10,1,3,868,0,148,276000
10142,656,0,300,956,956,1128,2084,1,0,2,1,4,1,8,0,2,618,0,45,233000
8910,655,0,0,655,1194,0,1194,0,1,1,0,3,1,6,1,2,539,0,0,159500
8068,0,0,1010,1010,1010,1257,2267,0,0,2,1,4,1,8,1,2,390,120,46,200000
